No.,type,admission_type,rank,grade,tutor_ability,tutor_guided_number,help_gained,research_projects_involved,english,student_affairs_involved,student_affairs_duration,research_time,research_writing_involved,Q1,Q2,Q3_4,Other,Patent,Competition_award,Innovation_projects,assessment
1,1,1,12/250,1,10,5,1,0,0.5+452/1420,0,1,25,0,0,0,0,0,0,0,0,-0.548023778
2,1,1,0.50 ,0,48,6,1,0,0.5+453/1420,1,1,35,1,0,0,0,0,0,0,0,-0.548023778
3,1,1,0.41 ,1,10,5,1,1,0.5+486/1420,0,0,15,1,0,0,0,0,0,0,0,-0.548023778
4,0,1,45/260,1,10,4,1,0,0.5+428/1420,1,6,25,2,0,0,1,0,0,0,0,-0.4270113
5,0,1,0.50 ,0,10,7,1,0,479/1420,1,1,5,0,0,0,0,0,0,0,0,-0.548023778
6,0,1,19/36,0,10,2,1,0,0.5+444/1420,2,2,5,0,0,0,0,0,0,0,0,-0.548023778
7,1,1,175/212,1,19,4,1,2,0.5+496/1420,0,3,45,2,0,0,0,0,1,2,0,-0.20034285
8,1,1,0.00 ,0,40,13,0,0,0.5+463/1420,0,1,5,1,0,0,0,0,0,0,0,-0.548023778
9,0,1,0.50 ,0,13,4,2,0,500/1420,1,1.5,5,1,0,0,0,0,0,0,0,-0.548023778
10,0,0,0.50 ,0,20,5,2,1,0.5+470/1420,1,2,35,2,0,0,0,0,0,0,0,-0.548023778
11,0,0,0.50 ,0,20,5,2,0,467/1420,2,1,25,2,0,0,0,0,0,0,0,-0.548023778
12,1,1,0.50 ,0,10,1,1,0,0.5+486/1420,1,4,15,1,0,0,0,0,0,0,1,0.027275151
13,1,1,0.50 ,0,10,5,2,0,455/1420,1,3,15,2,0,0,0,0,0,2,2,0.820381858
14,0,0,0.50 ,0,20,5,2,2,0.5+554/1420,3,5,25,2,0,0,0,0,0,4,0,-0.112408219
15,1,1,72/101,0,10,2,1,0,476/1420,1,2,15,1,0,0,0,0,0,3,0,-0.221312109
16,1,1,0.50 ,0,31,5,1,1,0.5+501/1420,2,5,15,1,0,0,0,1,0,2,1,0.305589169
17,0,1,0.00 ,0,20,5,2,0,0.5+431/1420,2,1,5,0,0,0,0,0,0,0,0,-0.548023778
18,0,0,123/256,1,10,2,1,1,0.5+435/1420,2,4.5,25,1,0,0,0,0,9,10,2,2.860471307
19,0,0,23/264,1,20,5,2,3,482/1420,4,2,15,1,0,0,0,2,1,0,1,0.278160776
20,0,0,14/241,2,20,5,2,5,0.5+450/1420,2,3,45,2,0,1,0,0,0,2,1,0.426601646
21,0,1,39/232,2,46,5,1,3,0.5+435/1420,1,7,35,2,0,1,0,0,1,0,1,0.338667015
22,1,1,20/220,2,10,6,2,2,0.5+478/1420,1,2,35,2,0,2,0,0,1,3,0,0.271598472
23,0,1,92/224,2,46,5,0,1,0.5+551/1420,1,0.5,35,1,0,0,1,0,1,0,0,-0.297138152
24,0,0,0.50 ,0,13,4,0,1,0.5+550/1420,2,1,15,1,0,0,0,0,0,1,0,-0.439119888
25,3,2,0.30 ,4,48,5,2,3,0.5+430/1420,1,3,45,2,2,3,0,0,1,0,0,0.610455429
26,2,1,0.04 ,4,42,4,2,6,0.5+505/1420,5,7,45,2,5,2,0,0,1,6,0,1.808434916
27,0,1,17/66,0,10,4,2,2,0.5+450/1420,5,4.5,15,1,0,0,0,0,0,0,0,-0.548023778
28,0,0,30/300,0,10,4,1,0,0.5+540/1420,4,5,15,1,0,0,0,0,0,2,0,-0.330215998
29,0,1,0.50 ,0,18,4,1,0,0.5+542/1420,0,0,35,1,0,0,0,0,0,0,0,-0.548023778
30,1,1,9/467,2,10,3,0,2,0.5+537/1420,0,0,45,1,2,0,0,0,0,0,0,-0.063973868
31,0,1,6/399,1,35,5,2,1,0.5+489/1420,2,2,15,0,1,0,0,0,0,0,0,-0.305998823
32,0,0,0.50 ,0,23,5,2,3,0.5+537/1420,3,5,45,1,0,0,0,0,0,8,1,0.898506268
33,1,0,19/200,1,17,3,2,1,0.5+489/1420,3,2,15,0,0,0,0,0,0,0,0,-0.548023778
34,1,0,3/421,2,10,4,2,0,0.5+507/1420,2,3,25,1,0,0,0,0,0,2,0,-0.330215998
35,0,1,111/221,0,10,2,1,0,0.5+480/1420,2,2,25,2,0,0,0,0,0,0,0,-0.548023778
36,0,1,0/100,0,10,5,2,2,0.5+461/1420,2,5,45,1,0,0,0,0,0,0,1,0.027275151
37,1,0,99/450,0,10,1,2,1,0.5+458/1420,3,0.8,15,1,0,0,1,0,1,0,0,-0.297138152
38,1,1,424/445,2,20,5,0,2,0.5+450/1420,1,3,25,1,0,0,2,0,0,0,0,-0.305998823
39,3,1,0.25 ,6,42,2,2,2,0.5+456/1420,1,1,45,2,3,3,0,0,1,3,2,2.32978991
